file,status,heat_of_formation,total_energy
conf_01_water_opt_vacuum_sp.out,ok,-109.99346,
conf_02_water_opt_vacuum_sp.out,ok,-109.79856,
conf_03_water_opt_vacuum_sp.out,ok,-109.23891,
conf_04_water_opt_vacuum_sp.out,ok,-107.87479,
conf_05_water_opt_vacuum_sp.out,ok,-109.44251,
conf_06_water_opt_vacuum_sp.out,ok,-108.29335,
conf_07_water_opt_vacuum_sp.out,ok,-107.45672,
conf_08_water_opt_vacuum_sp.out,ok,-109.73889,
conf_09_water_opt_vacuum_sp.out,ok,-108.06815,
conf_10_water_opt_vacuum_sp.out,ok,-109.91118,
