key,hof_eps_1_kcalmol,hof_eps_78_4_kcalmol,delta_78_4_minus_1_kcalmol,status
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QQK__receptor,-6169.13569,-7266.1576,-1097.0219099999995,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QTQ__receptor,-6168.36166,-7265.50769,-1097.1460300000008,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QTR__receptor,-6163.97337,-7262.05977,-1098.0864000000001,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QTS__receptor,-6169.0478,-7266.37505,-1097.3272499999994,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QTU__receptor,-6167.28041,-7262.55721,-1095.2767999999996,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QTW__receptor,-6166.89419,-7264.58168,-1097.6874900000003,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QTX__receptor,-6161.51732,-7258.16397,-1096.6466499999997,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QTZ__receptor,-6164.00852,-7262.41449,-1098.4059699999998,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QU0__receptor,-6167.36467,-7264.15425,-1096.7895799999997,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3QXP__receptor,-6164.29581,-7260.14405,-1095.8482400000003,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3R8U__receptor,-6171.23682,-7269.34474,-1098.1079199999995,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3R8V__receptor,-6169.09443,-7266.56901,-1097.47458,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3R8Z__receptor,-6170.39361,-7267.01177,-1096.61816,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3R9D__receptor,-6143.90434,-7253.22219,-1109.3178500000004,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3R9N__receptor,-6167.25466,-7265.45444,-1098.1997800000008,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RAH__receptor,-6172.89556,-7270.57242,-1097.6768600000005,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RAK__receptor,-6166.96873,-7261.12746,-1094.15873,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RAL__receptor,-6160.79354,-7257.43735,-1096.6438100000005,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RJC__receptor,-6163.52339,-7258.8778,-1095.35441,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RK5__receptor,-6167.27971,-7262.29348,-1095.0137700000005,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RK7__receptor,-6168.98741,-7265.04384,-1096.0564300000005,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RK9__receptor,-6169.53166,-7268.30881,-1098.7771500000008,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RKB__receptor,-6164.71041,-7261.6766,-1096.96619,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RMF__receptor,-6168.69572,-7263.62699,-1094.93127,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RNI__receptor,-6166.37454,-7260.18618,-1093.81164,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RPV__receptor,-6165.75921,-7260.81211,-1095.0528999999997,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3RPY__receptor,-6168.51868,-7265.7679,-1097.2492199999997,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3S00__receptor,-6172.02566,-7270.27021,-1098.2445499999994,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3S0O__receptor,-6171.55981,-7267.57601,-1096.0162,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3S1H__receptor,-6166.74185,-7260.97888,-1094.2370299999993,OK
_nobackup_proj_rockhpc_dccadd_ckn_mopac_PL-REX_PL-REX_009-CDK2_structures_pl-rex_3SQQ__receptor,-6168.47485,-7261.56742,-1093.0925700000007,OK
